"id","question","answer","evidence","human_supported","human_reviewer","reviewed_at","human_note"
"lesson-e747215f-ca4a-465b-bb66-495071e803d4-1","“1.3判断闰年”主要讲解什么？","“1.3判断闰年”主要讲解如何编写一个方法 `isLeapYear(int year)`，用于判断给定年份是否为闰年。其判断规则为：能被4整除但不能被100整除，或者能被400整除 [1]。","[{""sourceType"":""lesson"",""sourceId"":""e747215f-ca4a-465b-bb66-495071e803d4"",""contentHash"":""881d518a9fef886253646221788424d68c283b4c6579b12d9657d47f58992895"",""chunkIndex"":0,""score"":1,""content"":""# Java入门学习\n\n## 章节一：Java语言基础与核心语法\n\n### 1.3判断闰年\n\n请编写一个方法 isLeapYear(int year)，判断某一年是否为闰年。规则： 能被4整除但不能被100整除，或者能被400整除。""}]","","","",""
"lesson-e561c63e-abd6-4545-99e6-fbb3c50ddef6-1","“1.2 数据库与数据表创建、数据增删改”主要讲解什么？","本小节主要讲解数据库与数据表的创建，以及对数据进行新增、修改、删除的核心操作，是数据库实操的基础内容 [1]。

具体包括：
- **数据库操作**：使用 `CREATE DATABASE` 创建数据库（推荐加 `IF NOT EXISTS` 和 `DEFAULT CHARSET utf8mb4` 防止乱码），用 `USE` 切换数据库，用 `DROP DATABASE` 删除数据库 [1]。
- **数据表创建**：使用 `CREATE TABLE` 定义表结构，需指定表名、列名和数据类型（如 `INT`、`VARCHAR(长度)`、`DATE`） [1]。
- **数据增删改操作**（DML）：
  - **新增**：用 `INSERT INTO ... VALUES` 向表中插入数据，推荐指定字段名 [1]。
  - **修改**：用 `UPDATE ... SET ... WHERE` 精准修改数据，必须加 `WHERE` 条件防止误改全表 [1]。
  - **删除**：用 `DELETE FROM ... WHERE` 删除指定数据，同样必须加 `WHERE` 条件 [1]。

所有操作均强调语法规范，如关键字大写、语句以分号结尾、字符串用单引号包裹等 [1]。这些是后续复杂数据库操作的基础 [1]。","[{""sourceType"":""lesson"",""sourceId"":""e561c63e-abd6-4545-99e6-fbb3c50ddef6"",""contentHash"":""ad329c1df6f0603070205de5da5bc6e82f4aec698fe99baeae2285d311c984aa"",""chunkIndex"":0,""score"":1,""content"":""# 数据库基础学习教程\n\n## 第一章：数据库基础概念\n\n### 1.2 数据库与数据表创建、数据增删改\n\n在上一小节中，我们学会了数据库基础概念、区分了数据库与Excel的差异，同时掌握了基础的SELECT查询语句，能够从数据表中查询数据。但想要熟练使用数据库，只会查询远远不够。\n\n本节课我们将从零开始，学习数据库的核心基础操作：手动创建数据库、创建数据表，以及对数据进行新增、修改、删除操作。这四类操作是数据库最核心的基础能力，也是后续所有复杂数据库操作的前提，是每位学习者必须熟练掌握的重点内容。\n\n一、数据库的创建与删除\n\n1. 数据库基本操作概述\n\n数据库就像一个文件夹，而我们后续创建的数据表、存储的数据，都存放在这个文件夹中。想要使用数据表，第一步必须先创建对应的数据库。所有关系型数据库的数据库操作语法基本统一，简单易懂。\n\n2. 创建数据库\n\n我们使用 CREATE DATABASE 语句创建数据库，这是DDL（数据定义语言）的核心语句之一，用于定义数据库结构。\n\n基础语法：\n\nCREATE DATABASE 数据库名;\n\n标准规范语法（推荐使用）：\n\nCREATE DATABASE IF NOT EXISTS 数据库名 DEFAULT CHARSET utf8mb4;\n\n语法解析：\n\n * IF NOT EXISTS：判断数据库是否不存在，不存在则创建，避免重复创建报错，是实操必备写法\n\n * DEFAULT CHARSET utf8mb4：设置数据库默认编码为utf8mb4，支持所有中文、特殊符号和表情符号，彻底解决中文乱码问题\n\n示例：创建一个名为school的学校数据库\n\nCREATE DATABASE IF NOT EXISTS school DEFAULT CHARSET utf8mb4;\n\n3. 查看与使用数据库\n\n创建数据库后，需要切换到对应数据库，才能在其中创建数据表、操作数据。\n\n查看所有数据库：\n\nSHOW DATABASES;\n\n切换/使用指定数据库：\n\nUSE 数据库名;\n\n示例：切换到school数据库\n\nUSE school;\n\n4. 删除数据库\n\n对于无用的数据库，可使用 DROP DATABASE 语句删除，删除后数据库及内部所有数据、数据表会被清空，不可恢复，操作需谨慎。\n\n基础语法：\n\nDROP DATABASE IF EXISTS 数据库名;\n\n请完成练习\n\n二、数据表的创建与基础规则\n\n数据库创建完成后，核心操作就是创建数据表。数据表是存储数据的最小单元，创建数据表时，必须定义表名、列名、数据类型，也就是定义每一列存储什么类型的数据。\n\n1. 常用基础数据类型\n\n零基础入门只需掌握三种核心数据类型，满足90%基础场景：\n\n * INT：整型，用于存储数字（年龄、编号、分数等）\n\n * VARCHAR(长度)：字符串类型，用于存储文字（姓名、班级、性别等），括号内指定最大字符长度\n\n * DATE：日期类型，用于存储年月日（入学时间、生日等）\n\n2. 创建数据表语法\n\n使用 CREATE TABLE 语句创建数据表，属于DDL语句。\n\n基础语法：\n\nCREATE TABLE IF NOT EXISTS 表名 (\n    列名1 数据类型,\n    列名2 数据类型,\n    列名3 数据类型\n) DEFAULT CHARSET utf8mb4;\n\n实操示例：在school数据库中创建学生表students\n\nCREATE TABLE IF NOT EXISTS students (\n    id INT,\n    name VARCHAR(20),\n    age INT,\n    gender VARCHAR(10),\n    class VARCHAR(20)\n) DEFAULT CHARSET utf8mb4;\n\n该语句创建的学生表，包含id（学生编号）、name（姓名）、age（年龄）、gender（性别）、class（班级）五个字段，和上节课练习的表结构完全对应。\n\n请完成练习\n\n三、数据增删改核心操作（DML）\n\n创建好数据库和数据表后，我们就可以对表内数据进行操作。数据新增、修改、删除、查询是数据库四大核心操作，其中增删改属于DML数据操作语言。\n\n1. 新增数据（INSERT）\n\n使用 INSERT INTO 语句向数据表中添加新数据。\n\n语法1：指定字段新增（推荐，灵活稳定）\n\nINSERT INTO 表名(字段1,字段2,字段3) VALUES(值1,值2,值3);\n\n语法2：全字段新增\n\nINSERT INTO 表名 VALUES(所有字段值);\n\n示例：向students表新增一条学生数据\n\nINSERT INTO students(id,name,age,gender,class) VALUES(1,'张三',18,'男','一班');\n\n2. 修改数据（UPDATE）\n\n使用 UPDATE 语句修改表中已存在的数据，必须搭配WHERE条件，否则会修改全表数据。\n\n基础语法：\n\nUPDATE 表名 SET 字段1=新值,字段2=新值 WHERE 筛选条件;\n\n示例：将张三的年龄修改为19岁\n\nUPDATE students SET age=19 WHERE name='张三';\n\n3. 删除数据（DELETE）\n\n使用 DELETE FROM 语句删除表中数据，同样需要搭配WHERE条件，否则会清空全表数据。\n\n基础语法：\n\nDELETE FROM 表名 WHERE 筛选条件;\n\n示例：删除姓名为张三的学生数据\n\nDELETE FROM students WHERE name='张三';\n\n重点注意事项\n\n1. UPDATE、DELETE 语句必须加WHERE条件，否则会操作全表数据，造成数据丢失\n2. 字符串类型的值必须用单引号包裹，数字无需引号\n3. 所有SQL语句关键字建议大写，语句以分号结尾\n\n请完成练习\n\n📚 小节总结\n\n本节课我们完成了数据库入门的核心实操学习，掌握了从零搭建数据库、数据表，以及数据增删改的全部基础操作，核心知识点总结如下：\n\n 1. 数据库操作：使用CREATE创建数据库、USE切换数据库、DROP删除数据库，掌握编码设置规范\n\n 2. 数据表操作：掌握INT、VARCHAR、DATE核心数据类型，熟练使用CREATE TABLE创建自定义数据表\n\n 3. 数据增删改：\n\n    1. 新增：INSERT INTO 插入单条数据\n\n    2. 修改：UPDATE SET 精准修改数据，必加WHERE条件\n\n    3. 删除：DELETE FROM 删除指定数据，谨慎操作\n\n本节课的所有操作都是数据库实操的基础，后续所有复杂查询、多表关联、高级功能都建立在本节课内容之上，需要多动手实操、熟练掌握语法规范。\n\n----------------------------------------\n\n下节预告：下一节课我们将学习SQL高级查询，掌握模糊查询、排序查询、限制查询条数的核心语法，实现更精准、多样化的数据筛选。""}]","","","",""
"lesson-100000000000000000000000000000000013-2","在实际编程中，应该如何应用“div与span”中的核心知识？","### 课程内结论  
- “div与span”小节的标题为“区块与行内元素”，表明该小节的核心内容是区分 `div` 和 `span` 的基本类型属性 [1]。  
- 由此可以看出，`div` 是区块级元素（block-level element），`span` 是行内元素（inline element），这是该小节明确传达的核心知识 [1]。

### 通用补充（非课程原文）  
在实际编程中，`div` 和 `span` 的应用应基于它们的语义化和布局特性：  
- 使用 `div` 来组织页面中的大块内容，如章节、侧边栏、页脚等，适合用于布局或包裹一组块级内容 [1]。  
- 使用 `span` 来包裹文本中的局部内容，如高亮某几个字、添加样式或脚本交互，适合在行内进行微调 [1]。  
- 虽然 `div` 和 `span` 本身无语义，但它们常与 CSS 和 JavaScript 配合，用于结构化和动态控制页面元素。  
- 建议在可能时优先使用更具语义的标签（如 `section`、`article`、`p`、`strong` 等），仅在缺乏合适语义标签时使用 `div` 或 `span`。","[{""sourceType"":""lesson"",""sourceId"":""100000000000000000000000000000000013"",""contentHash"":""70c950a2188ede7daa2d9cf6c32f2db66a5c3a19718605b2c0d35a7a1152356c"",""chunkIndex"":0,""score"":1,""content"":""# HTML基础入门\n\n## 布局与语义化\n\n### div与span\n\n区块与行内元素""}]","","","",""
"lesson-300000000000000000000000000000000062-2","在实际编程中，应该如何应用“为什么使用数据库”中的核心知识？","### 课程内结论  
- 数据库在数据存储与管理方面具有优势 [1]。  

### 通用补充（非课程原文）  
在实际编程中，应用“为什么使用数据库”的核心知识，意味着在需要持久化存储、结构化管理、高效查询和多用户并发访问数据的场景中，优先选择数据库而非文件或内存存储。例如：  
- 用户信息、订单记录等需长期保存的数据，应存入数据库以保证可靠性与一致性。  
- 当程序需要根据条件快速查找数据（如“查找所有2024年下单的用户”），数据库的索引和查询优化机制远优于手动解析文件。  
- 多个用户或服务同时读写数据时，数据库提供事务支持（如ACID），避免数据冲突。  

这些实践体现了数据库在数据管理上的优势，正是课程中“数据存储与管理优势”的具体应用。","[{""sourceType"":""lesson"",""sourceId"":""300000000000000000000000000000000062"",""contentHash"":""0438a3d1eb2518a66123b55e4365132e35fa83d5370f7f9563f002bec425a87b"",""chunkIndex"":0,""score"":1,""content"":""# 数据库入门\n\n## 数据库概念\n\n### 为什么使用数据库\n\n数据存储与管理优势""}]","","","",""
"lesson-e747215f-ca4a-465b-bb66-495071e803d4-2","在实际编程中，应该如何应用“1.3判断闰年”中的核心知识？","### 课程内结论  
1. 判断闰年的逻辑规则为：能被4整除但不能被100整除，或者能被400整除 [1]。  
2. 该规则可封装为一个方法 `isLeapYear(int year)`，接收年份参数并返回布尔值 [1]。  
3. 此规则是基于公历（格里高利历）的闰年定义，用于判断某年是否为闰年 [1]。  

由此可以看出，该知识点的核心是将数学规则转化为可复用的程序逻辑，通过条件判断实现逻辑判断的自动化 [1]。

### 通用补充（非课程原文）  
在实际编程中，判断闰年常用于日期处理逻辑，例如：  
- 计算某年是否包含2月29日；  
- 在日历应用、财务系统或历史数据分析中，确保日期计算的准确性；  
- 作为算法练习或面试题，考察条件判断与逻辑表达能力。  

示例代码（非课程要求，仅作参考）：
```java
public static boolean isLeapYear(int year) {
    return (year % 4 == 0 && year % 100 != 0) || (year % 400 == 0);
}
```","[{""sourceType"":""lesson"",""sourceId"":""e747215f-ca4a-465b-bb66-495071e803d4"",""contentHash"":""881d518a9fef886253646221788424d68c283b4c6579b12d9657d47f58992895"",""chunkIndex"":0,""score"":1,""content"":""# Java入门学习\n\n## 章节一：Java语言基础与核心语法\n\n### 1.3判断闰年\n\n请编写一个方法 isLeapYear(int year)，判断某一年是否为闰年。规则： 能被4整除但不能被100整除，或者能被400整除。""}]","","","",""
"lesson-e561c63e-abd6-4545-99e6-fbb3c50ddef6-2","在实际编程中，应该如何应用“1.2 数据库与数据表创建、数据增删改”中的核心知识？","### 课程内结论  
1. 创建数据库时应使用 `CREATE DATABASE IF NOT EXISTS 数据库名 DEFAULT CHARSET utf8mb4;` 语句，以避免重复创建并确保支持中文和特殊字符 [1]。  
2. 使用 `USE 数据库名;` 语句切换到目标数据库，才能在其内创建数据表或操作数据 [1]。  
3. 创建数据表时应使用 `CREATE TABLE IF NOT EXISTS 表名 (列名 数据类型, ...) DEFAULT CHARSET utf8mb4;` 语法，定义列名和数据类型，推荐使用 `INT`、`VARCHAR(长度)` 和 `DATE` 三种基础类型 [1]。  
4. 插入数据使用 `INSERT INTO 表名(字段1,字段2,...) VALUES(值1,值2,...);`，推荐指定字段名以提高灵活性和安全性 [1]。  
5. 修改数据必须使用 `UPDATE 表名 SET 字段=新值 WHERE 条件;`，且必须包含 `WHERE` 条件，否则会修改整张表 [1]。  
6. 删除数据必须使用 `DELETE FROM 表名 WHERE 条件;`，且必须包含 `WHERE` 条件，否则会清空整张表 [1]。  
7. 所有SQL语句关键字建议大写，语句以分号结尾，字符串值需用单引号包裹，数字值无需引号 [1]。  

### 通用补充（非课程原文）  
在实际编程中，这些核心知识通常通过后端语言（如 Python、Java、Node.js）连接数据库来应用。例如：  
- 使用 Python 的 `mysql-connector` 或 `SQLAlchemy` 库执行 `CREATE DATABASE`、`CREATE TABLE` 等语句，完成数据库初始化。  
- 在应用启动时，通过 `INSERT INTO` 批量插入初始数据（如用户、配置），或通过 API 接口接收前端数据并动态执行 `INSERT`。  
- 通过 `UPDATE` 实现用户资料修改，`DELETE` 实现数据软删除（如标记 `is_deleted=1`）或硬删除，但需确保 `WHERE` 条件精准，防止误删。  
- 建议在生产环境中使用事务（`BEGIN; ... COMMIT;`）包裹增删改操作，保证数据一致性。  
- 所有 SQL 操作应避免直接拼接用户输入，防止 SQL 注入，应使用参数化查询（如 `cursor.execute(""INSERT INTO ... VALUES (%s, %s)"", (val1, val2))`）。","[{""sourceType"":""lesson"",""sourceId"":""e561c63e-abd6-4545-99e6-fbb3c50ddef6"",""contentHash"":""ad329c1df6f0603070205de5da5bc6e82f4aec698fe99baeae2285d311c984aa"",""chunkIndex"":0,""score"":1,""content"":""# 数据库基础学习教程\n\n## 第一章：数据库基础概念\n\n### 1.2 数据库与数据表创建、数据增删改\n\n在上一小节中，我们学会了数据库基础概念、区分了数据库与Excel的差异，同时掌握了基础的SELECT查询语句，能够从数据表中查询数据。但想要熟练使用数据库，只会查询远远不够。\n\n本节课我们将从零开始，学习数据库的核心基础操作：手动创建数据库、创建数据表，以及对数据进行新增、修改、删除操作。这四类操作是数据库最核心的基础能力，也是后续所有复杂数据库操作的前提，是每位学习者必须熟练掌握的重点内容。\n\n一、数据库的创建与删除\n\n1. 数据库基本操作概述\n\n数据库就像一个文件夹，而我们后续创建的数据表、存储的数据，都存放在这个文件夹中。想要使用数据表，第一步必须先创建对应的数据库。所有关系型数据库的数据库操作语法基本统一，简单易懂。\n\n2. 创建数据库\n\n我们使用 CREATE DATABASE 语句创建数据库，这是DDL（数据定义语言）的核心语句之一，用于定义数据库结构。\n\n基础语法：\n\nCREATE DATABASE 数据库名;\n\n标准规范语法（推荐使用）：\n\nCREATE DATABASE IF NOT EXISTS 数据库名 DEFAULT CHARSET utf8mb4;\n\n语法解析：\n\n * IF NOT EXISTS：判断数据库是否不存在，不存在则创建，避免重复创建报错，是实操必备写法\n\n * DEFAULT CHARSET utf8mb4：设置数据库默认编码为utf8mb4，支持所有中文、特殊符号和表情符号，彻底解决中文乱码问题\n\n示例：创建一个名为school的学校数据库\n\nCREATE DATABASE IF NOT EXISTS school DEFAULT CHARSET utf8mb4;\n\n3. 查看与使用数据库\n\n创建数据库后，需要切换到对应数据库，才能在其中创建数据表、操作数据。\n\n查看所有数据库：\n\nSHOW DATABASES;\n\n切换/使用指定数据库：\n\nUSE 数据库名;\n\n示例：切换到school数据库\n\nUSE school;\n\n4. 删除数据库\n\n对于无用的数据库，可使用 DROP DATABASE 语句删除，删除后数据库及内部所有数据、数据表会被清空，不可恢复，操作需谨慎。\n\n基础语法：\n\nDROP DATABASE IF EXISTS 数据库名;\n\n请完成练习\n\n二、数据表的创建与基础规则\n\n数据库创建完成后，核心操作就是创建数据表。数据表是存储数据的最小单元，创建数据表时，必须定义表名、列名、数据类型，也就是定义每一列存储什么类型的数据。\n\n1. 常用基础数据类型\n\n零基础入门只需掌握三种核心数据类型，满足90%基础场景：\n\n * INT：整型，用于存储数字（年龄、编号、分数等）\n\n * VARCHAR(长度)：字符串类型，用于存储文字（姓名、班级、性别等），括号内指定最大字符长度\n\n * DATE：日期类型，用于存储年月日（入学时间、生日等）\n\n2. 创建数据表语法\n\n使用 CREATE TABLE 语句创建数据表，属于DDL语句。\n\n基础语法：\n\nCREATE TABLE IF NOT EXISTS 表名 (\n    列名1 数据类型,\n    列名2 数据类型,\n    列名3 数据类型\n) DEFAULT CHARSET utf8mb4;\n\n实操示例：在school数据库中创建学生表students\n\nCREATE TABLE IF NOT EXISTS students (\n    id INT,\n    name VARCHAR(20),\n    age INT,\n    gender VARCHAR(10),\n    class VARCHAR(20)\n) DEFAULT CHARSET utf8mb4;\n\n该语句创建的学生表，包含id（学生编号）、name（姓名）、age（年龄）、gender（性别）、class（班级）五个字段，和上节课练习的表结构完全对应。\n\n请完成练习\n\n三、数据增删改核心操作（DML）\n\n创建好数据库和数据表后，我们就可以对表内数据进行操作。数据新增、修改、删除、查询是数据库四大核心操作，其中增删改属于DML数据操作语言。\n\n1. 新增数据（INSERT）\n\n使用 INSERT INTO 语句向数据表中添加新数据。\n\n语法1：指定字段新增（推荐，灵活稳定）\n\nINSERT INTO 表名(字段1,字段2,字段3) VALUES(值1,值2,值3);\n\n语法2：全字段新增\n\nINSERT INTO 表名 VALUES(所有字段值);\n\n示例：向students表新增一条学生数据\n\nINSERT INTO students(id,name,age,gender,class) VALUES(1,'张三',18,'男','一班');\n\n2. 修改数据（UPDATE）\n\n使用 UPDATE 语句修改表中已存在的数据，必须搭配WHERE条件，否则会修改全表数据。\n\n基础语法：\n\nUPDATE 表名 SET 字段1=新值,字段2=新值 WHERE 筛选条件;\n\n示例：将张三的年龄修改为19岁\n\nUPDATE students SET age=19 WHERE name='张三';\n\n3. 删除数据（DELETE）\n\n使用 DELETE FROM 语句删除表中数据，同样需要搭配WHERE条件，否则会清空全表数据。\n\n基础语法：\n\nDELETE FROM 表名 WHERE 筛选条件;\n\n示例：删除姓名为张三的学生数据\n\nDELETE FROM students WHERE name='张三';\n\n重点注意事项\n\n1. UPDATE、DELETE 语句必须加WHERE条件，否则会操作全表数据，造成数据丢失\n2. 字符串类型的值必须用单引号包裹，数字无需引号\n3. 所有SQL语句关键字建议大写，语句以分号结尾\n\n请完成练习\n\n📚 小节总结\n\n本节课我们完成了数据库入门的核心实操学习，掌握了从零搭建数据库、数据表，以及数据增删改的全部基础操作，核心知识点总结如下：\n\n 1. 数据库操作：使用CREATE创建数据库、USE切换数据库、DROP删除数据库，掌握编码设置规范\n\n 2. 数据表操作：掌握INT、VARCHAR、DATE核心数据类型，熟练使用CREATE TABLE创建自定义数据表\n\n 3. 数据增删改：\n\n    1. 新增：INSERT INTO 插入单条数据\n\n    2. 修改：UPDATE SET 精准修改数据，必加WHERE条件\n\n    3. 删除：DELETE FROM 删除指定数据，谨慎操作\n\n本节课的所有操作都是数据库实操的基础，后续所有复杂查询、多表关联、高级功能都建立在本节课内容之上，需要多动手实操、熟练掌握语法规范。\n\n----------------------------------------\n\n下节预告：下一节课我们将学习SQL高级查询，掌握模糊查询、排序查询、限制查询条数的核心语法，实现更精准、多样化的数据筛选。""}]","","","",""
"lesson-100000000000000000000000000000000001-1","“什么是HTML”主要讲解什么？","“什么是HTML”主要讲解HTML是网页结构的基础标记语言 [1]。","[{""sourceType"":""lesson"",""sourceId"":""100000000000000000000000000000000001"",""contentHash"":""001092861685869f547a464478e25e073ed626fa4ad5e440fb6715ced344b74d"",""chunkIndex"":0,""score"":1,""content"":""# HTML基础入门\n\n## HTML基础入门\n\n### 什么是HTML\n\nHTML是网页结构的基础标记语言""}]","","","",""
"lesson-300000000000000000000000000000000063-1","“数据库应用场景”主要讲解什么？","“数据库应用场景”小节主要讲解常见数据库的使用场景 [1]。","[{""sourceType"":""lesson"",""sourceId"":""300000000000000000000000000000000063"",""contentHash"":""7ef434f7cab7c645e4e248bf4c30ad75a608db51f57ba9c57899794f606766ad"",""chunkIndex"":0,""score"":1,""content"":""# 数据库入门\n\n## 数据库概念\n\n### 数据库应用场景\n\n常见数据库使用场景""}]","","","",""
"lesson-04bc001d-df88-41ed-a275-d6b3774f21d4-1","“1.3 SQL高级查询（模糊查询、排序、分页）”主要讲解什么？","本小节主要讲解 SQL 中三大高频查询语法，用于实现精准数据筛选，是项目开发和面试中的核心内容 [1]。

具体包括：

1. **模糊查询（LIKE）**  
   - 使用 `LIKE` 关键字配合通配符进行非精确匹配。  
   - 两个核心通配符：  
     - `%`：匹配任意多个字符（包括0个）  
     - `_`：匹配单个任意字符  
   - 示例：  
     - 查询姓名中包含“李”的学生：`LIKE '%李%'`  
     - 查询姓名以“张”开头的学生：`LIKE '张%'`  
     - 查询两个字且第一个字是“王”的学生：`LIKE '王_'` [1]

2. **排序查询（ORDER BY）**  
   - 用于对查询结果按指定字段进行升序（`ASC`，默认）或降序（`DESC`）排列。  
   - 支持多字段排序：先按第一字段排序，相同值时再按第二字段排序。  
   - 示例：  
     - 按年龄升序：`ORDER BY age ASC`  
     - 按年龄降序：`ORDER BY age DESC` [1]

3. **分页查询（LIMIT）**  
   - 限制查询结果的数量，避免一次性加载过多数据。  
   - 语法：`LIMIT 起始索引, 查询条数`，索引从 0 开始。  
   - 示例：  
     - 查询前3条数据：`LIMIT 0,3`  
     - 查询第4~6条数据：`LIMIT 3,3` [1]

此外，本节强调查询语句的执行顺序为：`WHERE` → `ORDER BY` → `LIMIT`，并提醒通配符需用单引号包裹，且 `LIMIT` 不改变原表数据顺序 [1]。","[{""sourceType"":""lesson"",""sourceId"":""04bc001d-df88-41ed-a275-d6b3774f21d4"",""contentHash"":""550be508b1f8962171b962cd8741c36d6d8fd32fbec36fea9f66d0d4d28c78a6"",""chunkIndex"":0,""score"":1,""content"":""# 数据库基础学习教程\n\n## 第一章：数据库基础概念\n\n### 1.3 SQL高级查询（模糊查询、排序、分页）\n\n上一节我们掌握了数据增删改基础操作和基础SELECT查询。在实际开发中，我们很少查询全部数据，更多是根据模糊条件、数据顺序、数据条数精准筛选数据。本节课将学习日常开发使用率最高的三大高级查询：模糊查询、排序查询、分页查询，是数据库查询核心重点。\n\n----------------------------------------\n\n一、模糊查询（LIKE）\n\n精准查询（WHERE 字段=值）只能匹配完全一致的数据，而模糊查询可以实现包含、开头、结尾匹配，核心关键字为 LIKE，搭配两个通配符使用。\n\n1. 两大核心通配符\n\n * %：匹配任意多个字符（0个、1个或多个）\n\n * _：匹配单个任意字符\n\n2. 常用语法场景\n\n语法格式：\n\nSELECT 字段 FROM 表名 WHERE 字段 LIKE '匹配规则';\n\n实操示例（基于students学生表）：\n\n * 查询姓名中包含“李”的学生：LIKE '%李%'\n\n * 查询姓名以“张”开头的学生：LIKE '张%'\n\n * 查询姓名为两个字、且第一个字是王的学生：LIKE '王_'\n\n-- 查询所有含“李”字的学生\nSELECT * FROM students WHERE name LIKE '%李%';\n\n----------------------------------------\n\n二、排序查询（ORDER BY）\n\n数据库默认查询数据顺序为数据存储顺序，杂乱无章。通过 ORDER BY 可以对查询结果进行升序或降序排序。\n\n1. 排序规则\n\n * ASC：升序（从小到大），默认规则，可省略\n\n * DESC：降序（从大到小），必须手动声明\n\n2. 语法与示例\n\n-- 单字段排序：按年龄升序\nSELECT * FROM students ORDER BY age ASC;\n\n-- 单字段排序：按年龄降序\nSELECT * FROM students ORDER BY age DESC;\n\n多字段排序规则：先按第一个字段排序，第一个字段数据相同时，再按第二个字段排序。\n\n----------------------------------------\n\n三、分页查询（LIMIT）\n\n实际项目中数据表数据动辄上万条，一次性查询所有数据会造成卡顿、资源浪费。LIMIT 分页查询可以限制查询数据条数，是项目必备语法。\n\n1. 标准语法\n\nSELECT 字段 FROM 表名 LIMIT 起始索引, 查询条数;\n\n核心规则：数据索引从 0 开始计数\n\n2. 实操示例\n\n-- 查询前3条学生数据（索引0开始，取3条）\nSELECT * FROM students LIMIT 0,3;\n\n-- 查询第4-6条数据\nSELECT * FROM students LIMIT 3,3;\n\n重点注意事项\n\n1. 查询语句执行顺序：WHERE筛选 → ORDER BY排序 → LIMIT分页\n2. 通配符匹配内容必须用单引号包裹\n3. LIMIT只作用于查询结果，不会修改原表数据顺序\n\n----------------------------------------\n\n请完成练习\n\n📚 小节总结\n\n本节掌握三大高频查询语法：模糊查询LIKE、排序ORDER BY、分页LIMIT，可实现绝大部分精准数据筛选场景，是项目开发、考试面试必考核心。\n\n请完成练习""}]","","","",""
"lesson-100000000000000000000000000000000001-2","在实际编程中，应该如何应用“什么是HTML”中的核心知识？","### 课程内结论
- HTML是网页结构的基础标记语言 [1]。

### 通用补充（非课程原文）
在实际编程中，理解“HTML是网页结构的基础标记语言”意味着：  
- 你应使用HTML来定义网页的语义结构，如标题（`<h1>`）、段落（`<p>`）、列表（`<ul>`）、链接（`<a>`）、图片（`<img>`）等元素，这些元素共同构成页面的骨架。  
- 所有网页内容的组织都始于HTML，后续的CSS用于样式美化，JavaScript用于交互行为。  
- 保持HTML语义化（如用`<nav>`表示导航，`<article>`表示文章内容）有助于提升可访问性、SEO和代码可维护性。","[{""sourceType"":""lesson"",""sourceId"":""100000000000000000000000000000000001"",""contentHash"":""001092861685869f547a464478e25e073ed626fa4ad5e440fb6715ced344b74d"",""chunkIndex"":0,""score"":1,""content"":""# HTML基础入门\n\n## HTML基础入门\n\n### 什么是HTML\n\nHTML是网页结构的基础标记语言""}]","","","",""
"lesson-300000000000000000000000000000000063-2","在实际编程中，应该如何应用“数据库应用场景”中的核心知识？","### 课程内结论  
1. 本小节标题为“数据库应用场景”，但未提供具体的应用场景描述或示例 [1]。  
2. 课程仅列出“常见数据库使用场景”作为标题内容，未进一步说明具体场景、用途或映射关系 [1]。  
3. 由此可以看出，当前课程证据中未明确给出任何具体的数据库应用场景实例或其在编程中的应用方式 [1]。

### 通用补充（非课程原文）  
在实际编程中，理解数据库应用场景的核心在于识别哪些数据需要持久化、结构化存储，并支持高效查询与并发访问。常见的应用场景包括：

- **用户管理系统**：存储用户注册信息（如用户名、密码哈希、邮箱），支持登录验证与权限管理。
- **电商系统订单管理**：记录订单、商品、库存、支付状态等，需保证事务一致性（如扣减库存与生成订单同步）。
- **日志与监控系统**：持续写入系统日志或性能指标，需支持高吞吐写入和按时间范围查询。
- **内容管理系统（CMS）**：存储文章、评论、标签等结构化内容，支持多条件检索与版本管理。

这些场景中，数据库的作用是作为可靠、可扩展的数据中心，支撑应用逻辑的正确执行。选择数据库类型（如关系型 vs. NoSQL）通常取决于数据结构、一致性要求和访问模式。","[{""sourceType"":""lesson"",""sourceId"":""300000000000000000000000000000000063"",""contentHash"":""7ef434f7cab7c645e4e248bf4c30ad75a608db51f57ba9c57899794f606766ad"",""chunkIndex"":0,""score"":1,""content"":""# 数据库入门\n\n## 数据库概念\n\n### 数据库应用场景\n\n常见数据库使用场景""}]","","","",""
